Date,Pogo Jet
2009-04-25,78
2009-04-26,78
2009-04-27,78
2009-04-28,78
2009-04-29,78
2009-04-30,78
2009-05-01,78
2009-05-02,78
2009-05-03,78
2009-05-04,78
2009-05-05,78
2009-05-06,78
2009-05-07,78
2009-05-08,78
2009-05-09,78
2009-05-10,78
2009-05-11,78
2009-05-12,78
2009-05-13,78
2009-05-14,78
2009-05-15,78
2009-05-16,78
2009-05-17,79
2009-05-18,79
2009-05-19,79
2009-05-20,79
2009-05-21,79
2009-05-22,79
2009-05-23,79
2009-05-24,79
2009-05-25,79
2009-05-26,79
2009-05-27,79
2009-05-28,79
2009-05-29,79
2009-05-30,79
2009-05-31,79
2009-06-01,80
2009-06-02,80
2009-06-03,80
2009-06-04,80
2009-06-05,80
2009-06-06,80
2009-06-07,80
2009-06-08,80
2009-06-09,80
2009-06-10,80
2009-06-11,80
2009-06-12,80
2009-06-13,80
2009-06-14,80
2009-06-15,80
2009-06-16,81
2009-06-17,81
2009-06-18,81
2009-06-19,81
2009-06-20,81
2009-06-21,81
2009-06-22,81
2009-06-23,81
2009-06-24,81
2009-06-25,81
2009-06-26,81
2009-06-27,81
2009-06-28,81
2009-06-29,81
2009-06-30,81
2009-07-01,82
2009-07-02,82
2009-07-03,82
2009-07-04,82
2009-07-05,82
2009-07-06,82
2009-07-07,82
2009-07-08,82
2009-07-09,82
2009-07-10,82
2009-07-11,82
2009-07-12,82
2009-07-13,82
2009-07-14,82
2009-07-15,82
2009-07-16,82
2009-07-17,82
2009-07-18,82
2009-07-19,82
2009-07-20,82
2009-07-21,82
2009-07-22,82
2009-07-23,82
2009-07-24,82
2009-07-25,82
2009-07-26,82
2009-07-27,82
2009-07-28,82
2009-07-29,82
2009-07-30,82
2009-07-31,82
2009-08-01,83
2009-08-02,83
2009-08-03,83
2009-08-04,83
2009-08-05,83
2009-08-06,83
2009-08-07,83
2009-08-08,83
2009-08-09,83
2009-08-10,83
2009-08-11,83
2009-08-12,83
2009-08-13,83
2009-08-14,83
2009-08-15,83
2009-08-16,83
2009-08-17,84
2009-08-18,84
2009-08-19,84
2009-08-20,84
2009-08-21,84
2009-08-22,84
2009-08-23,84
2009-08-24,84
2009-08-25,84
2009-08-26,84
2009-08-27,84
2009-08-28,84
2009-08-29,84
2009-08-30,84
2009-08-31,84
2009-09-01,85
2009-09-02,82
2009-09-03,79
2009-09-04,76
2009-09-05,73
2009-09-06,70
2009-09-07,68
2009-09-08,65
2009-09-09,62
2009-09-10,59
2009-09-11,56
2009-09-12,53
2009-09-13,51
2009-09-14,48
2009-09-15,45
2009-09-16,42
2009-09-17,39
2009-09-18,36
2009-09-19,34
2009-09-20,31
2009-09-21,28
2009-09-22,25
2009-09-23,22
2009-09-24,19
2009-09-25,17
2009-09-26,14
2009-09-27,11
2009-09-28,8
2009-09-29,5
2009-09-30,2
2009-10-01,0
2009-10-02,0
2009-10-03,0
2009-10-04,0
2009-10-05,0
2009-10-06,0
2009-10-07,0
2009-10-08,0
2009-10-09,0
2009-10-10,0
2009-10-11,0
2009-10-12,0
2009-10-13,0
2009-10-14,0
2009-10-15,0
2009-10-16,0
2009-10-17,0
2009-10-18,0
2009-10-19,0
2009-10-20,0
2009-10-21,0
2009-10-22,0
2009-10-23,0
2009-10-24,0
2009-10-25,0
2009-10-26,0
2009-10-27,0
2009-10-28,0
2009-10-29,0
2009-10-30,0
2009-10-31,0
2009-11-01,0
2009-11-02,0
2009-11-03,0
2009-11-04,0
2009-11-05,0
2009-11-06,0
2009-11-07,0
2009-11-08,0
2009-11-09,0
2009-11-10,0
2009-11-11,0
2009-11-12,0
2009-11-13,0
2009-11-14,0
2009-11-15,0
2009-11-16,0
2009-11-17,0
2009-11-18,0
2009-11-19,0
2009-11-20,0
2009-11-21,0
2009-11-22,0
2009-11-23,0
2009-11-24,0
2009-11-25,0
2009-11-26,0
2009-11-27,0
2009-11-28,0
2009-11-29,0
2009-11-30,0
2009-12-01,0
2009-12-02,0
2009-12-03,0
2009-12-04,0
2009-12-05,0
2009-12-06,0
2009-12-07,0
2009-12-08,0
2009-12-09,0
2009-12-10,0
2009-12-11,0
2009-12-12,0
2009-12-13,0
2009-12-14,0
2009-12-15,0
2009-12-16,0
2009-12-17,0
2009-12-18,0
2009-12-19,0
2009-12-20,0
2009-12-21,0
2009-12-22,0
2009-12-23,0
2009-12-24,0
2009-12-25,0
2009-12-26,0
2009-12-27,0
2009-12-28,0
2009-12-29,0
2009-12-30,0
2009-12-31,0
2010-01-01,0
2010-01-02,0
2010-01-03,0
2010-01-04,0
2010-01-05,0
2010-01-06,0
2010-01-07,0
2010-01-08,0
2010-01-09,0
2010-01-10,0
2010-01-11,0
2010-01-12,0
2010-01-13,0
2010-01-14,0
2010-01-15,0
2010-01-16,0
2010-01-17,0
2010-01-18,0
2010-01-19,0
2010-01-20,0
2010-01-21,0
2010-01-22,0
2010-01-23,0
2010-01-24,0
2010-01-25,0
2010-01-26,0
2010-01-27,0
2010-01-28,0
2010-01-29,0
2010-01-30,0
2010-01-31,0
2010-02-01,0
2010-02-02,0
2010-02-03,0
2010-02-04,0
2010-02-05,0
2010-02-06,0
2010-02-07,0
2010-02-08,0
2010-02-09,0
2010-02-10,0
2010-02-11,0
2010-02-12,0
2010-02-13,0
2010-02-14,0
2010-02-15,0
2010-02-16,0
2010-02-17,0
2010-02-18,0
2010-02-19,0
2010-02-20,0
2010-02-21,0
2010-02-22,0
2010-02-23,0
2010-02-24,0
2010-02-25,0
2010-02-26,0
2010-02-27,0
2010-02-28,0
2010-03-01,0
2010-03-02,0
2010-03-03,0
2010-03-04,0
2010-03-05,0
2010-03-06,0
2010-03-07,0
2010-03-08,0
2010-03-09,0
2010-03-10,0
2010-03-11,0
2010-03-12,0
2010-03-13,0
2010-03-14,0
2010-03-15,0
2010-03-16,0
2010-03-17,0
2010-03-18,0
2010-03-19,0
2010-03-20,0
2010-03-21,0
2010-03-22,0
2010-03-23,0
2010-03-24,0
2010-03-25,0
2010-03-26,0
2010-03-27,0
2010-03-28,0
2010-03-29,0
2010-03-30,0
2010-03-31,0
2010-04-01,0
2010-04-02,0
2010-04-03,0
2010-04-04,0
2010-04-05,0
2010-04-06,0
2010-04-07,0
2010-04-08,0
2010-04-09,0
2010-04-10,0
2010-04-11,0
2010-04-12,0
2010-04-13,0
2010-04-14,0
2010-04-15,0
2010-04-16,0
2010-04-17,0
2010-04-18,0
2010-04-19,0
2010-04-20,0
2010-04-21,0
2010-04-22,0
2010-04-23,0
2010-04-24,0
2010-04-25,0
2010-04-26,0
2010-04-27,0
2010-04-28,0
2010-04-29,0
2010-04-30,0
2010-05-01,0
2010-05-02,0
2010-05-03,0
2010-05-04,0
2010-05-05,0
2010-05-06,0
2010-05-07,0
2010-05-08,0
2010-05-09,0
2010-05-10,0
2010-05-11,0
2010-05-12,0
2010-05-13,0
2010-05-14,0
2010-05-15,0
2010-05-16,0
2010-05-17,0
2010-05-18,0
2010-05-19,0
2010-05-20,0
2010-05-21,0
2010-05-22,0
2010-05-23,0
2010-05-24,0
2010-05-25,0
2010-05-26,0
2010-05-27,0
2010-05-28,0
2010-05-29,0
2010-05-30,0
2010-05-31,0
2010-06-01,0
2010-06-02,0
2010-06-03,0
2010-06-04,0
2010-06-05,0
2010-06-06,0
2010-06-07,0
2010-06-08,0
2010-06-09,0
2010-06-10,0
2010-06-11,0
2010-06-12,0
2010-06-13,0
2010-06-14,0
2010-06-15,0
2010-06-16,0
2010-06-17,0
2010-06-18,0
2010-06-19,0
2010-06-20,0
2010-06-21,0
2010-06-22,0
2010-06-23,0
2010-06-24,0
2010-06-25,0
2010-06-26,0
2010-06-27,0
2010-06-28,0
2010-06-29,0
2010-06-30,0
2010-07-01,0
2010-07-02,0
2010-07-03,0
2010-07-04,0
2010-07-05,0
2010-07-06,0
2010-07-07,0
2010-07-08,0
2010-07-09,0
2010-07-10,0
2010-07-11,0
2010-07-12,0
2010-07-13,0
2010-07-14,0
2010-07-15,0
2010-07-16,0
2010-07-17,0
2010-07-18,0
2010-07-19,0
2010-07-20,0
2010-07-21,0
2010-07-22,0
2010-07-23,0
2010-07-24,0
2010-07-25,0
2010-07-26,0
2010-07-27,0
2010-07-28,0
2010-07-29,0
2010-07-30,0
2010-07-31,0
