Date,Concho Resources
2007-10-02,0
2007-10-03,0
2007-10-04,0
2007-10-05,0
2007-10-06,0
2007-10-07,0
2007-10-08,0
2007-10-09,0
2007-10-10,0
2007-10-11,0
2007-10-12,0
2007-10-13,0
2007-10-14,0
2007-10-15,0
2007-10-16,0
2007-10-17,0
2007-10-18,0
2007-10-19,0
2007-10-20,0
2007-10-21,0
2007-10-22,0
2007-10-23,0
2007-10-24,0
2007-10-25,0
2007-10-26,0
2007-10-27,0
2007-10-28,0
2007-10-29,0
2007-10-30,0
2007-10-31,0
2007-11-01,0
2007-11-02,0
2007-11-03,0
2007-11-04,0
2007-11-05,0
2007-11-06,0
2007-11-07,0
2007-11-08,0
2007-11-09,0
2007-11-10,0
2007-11-11,0
2007-11-12,0
2007-11-13,0
2007-11-14,0
2007-11-15,0
2007-11-16,0
2007-11-17,0
2007-11-18,0
2007-11-19,0
2007-11-20,0
2007-11-21,0
2007-11-22,0
2007-11-23,0
2007-11-24,0
2007-11-25,0
2007-11-26,0
2007-11-27,0
2007-11-28,0
2007-11-29,0
2007-11-30,0
2007-12-01,0
2007-12-02,0
2007-12-03,0
2007-12-04,0
2007-12-05,0
2007-12-06,0
2007-12-07,0
2007-12-08,0
2007-12-09,0
2007-12-10,0
2007-12-11,0
2007-12-12,0
2007-12-13,0
2007-12-14,0
2007-12-15,0
2007-12-16,0
2007-12-17,0
2007-12-18,0
2007-12-19,0
2007-12-20,0
2007-12-21,0
2007-12-22,0
2007-12-23,0
2007-12-24,0
2007-12-25,0
2007-12-26,0
2007-12-27,0
2007-12-28,0
2007-12-29,0
2007-12-30,0
2007-12-31,0
2008-01-01,0
2008-01-02,0
2008-01-03,0
2008-01-04,0
2008-01-05,0
2008-01-06,0
2008-01-07,0
2008-01-08,0
2008-01-09,0
2008-01-10,0
2008-01-11,0
2008-01-12,0
2008-01-13,0
2008-01-14,0
2008-01-15,0
2008-01-16,0
2008-01-17,0
2008-01-18,0
2008-01-19,0
2008-01-20,0
2008-01-21,0
2008-01-22,0
2008-01-23,0
2008-01-24,0
2008-01-25,0
2008-01-26,0
2008-01-27,0
2008-01-28,0
2008-01-29,0
2008-01-30,0
2008-01-31,0
2008-02-01,0
2008-02-02,0
2008-02-03,0
2008-02-04,0
2008-02-05,0
2008-02-06,0
2008-02-07,0
2008-02-08,0
2008-02-09,0
2008-02-10,0
2008-02-11,0
2008-02-12,0
2008-02-13,0
2008-02-14,0
2008-02-15,0
2008-02-16,0
2008-02-17,0
2008-02-18,0
2008-02-19,0
2008-02-20,0
2008-02-21,0
2008-02-22,0
2008-02-23,0
2008-02-24,0
2008-02-25,0
2008-02-26,0
2008-02-27,0
2008-02-28,0
2008-02-29,0
2008-03-01,0
2008-03-02,0
2008-03-03,0
2008-03-04,0
2008-03-05,0
2008-03-06,0
2008-03-07,0
2008-03-08,0
2008-03-09,0
2008-03-10,0
2008-03-11,0
2008-03-12,0
2008-03-13,0
2008-03-14,0
2008-03-15,0
2008-03-16,0
2008-03-17,0
2008-03-18,0
2008-03-19,0
2008-03-20,0
2008-03-21,0
2008-03-22,0
2008-03-23,0
2008-03-24,0
2008-03-25,0
2008-03-26,0
2008-03-27,0
2008-03-28,0
2008-03-29,0
2008-03-30,0
2008-03-31,0
2008-04-01,0
2008-04-02,0
2008-04-03,0
2008-04-04,0
2008-04-05,0
2008-04-06,0
2008-04-07,0
2008-04-08,0
2008-04-09,0
2008-04-10,0
2008-04-11,0
2008-04-12,0
2008-04-13,0
2008-04-14,0
2008-04-15,0
2008-04-16,0
2008-04-17,0
2008-04-18,0
2008-04-19,0
2008-04-20,0
2008-04-21,0
2008-04-22,0
2008-04-23,0
2008-04-24,0
2008-04-25,0
2008-04-26,0
2008-04-27,0
2008-04-28,0
2008-04-29,0
2008-04-30,0
2008-05-01,0
2008-05-02,3
2008-05-03,6
2008-05-04,9
2008-05-05,12
2008-05-06,16
2008-05-07,19
2008-05-08,22
2008-05-09,25
2008-05-10,29
2008-05-11,32
2008-05-12,35
2008-05-13,38
2008-05-14,41
2008-05-15,45
2008-05-16,48
2008-05-17,51
2008-05-18,54
2008-05-19,58
2008-05-20,61
2008-05-21,64
2008-05-22,67
2008-05-23,70
2008-05-24,74
2008-05-25,77
2008-05-26,80
2008-05-27,83
2008-05-28,87
2008-05-29,90
2008-05-30,93
2008-05-31,96
2008-06-01,100
2008-06-02,98
2008-06-03,96
2008-06-04,94
2008-06-05,92
2008-06-06,90
2008-06-07,89
2008-06-08,87
2008-06-09,85
2008-06-10,83
2008-06-11,81
2008-06-12,79
2008-06-13,78
2008-06-14,76
2008-06-15,74
2008-06-16,72
2008-06-17,70
2008-06-18,68
2008-06-19,67
2008-06-20,65
2008-06-21,63
2008-06-22,61
2008-06-23,59
2008-06-24,57
2008-06-25,56
2008-06-26,54
2008-06-27,52
2008-06-28,50
2008-06-29,48
2008-06-30,46
2008-07-01,45
2008-07-02,45
2008-07-03,45
2008-07-04,45
2008-07-05,45
2008-07-06,45
2008-07-07,45
2008-07-08,45
2008-07-09,45
2008-07-10,45
2008-07-11,45
2008-07-12,45
2008-07-13,45
2008-07-14,45
2008-07-15,45
2008-07-16,45
2008-07-17,45
2008-07-18,45
2008-07-19,45
2008-07-20,45
2008-07-21,45
2008-07-22,45
2008-07-23,45
2008-07-24,45
2008-07-25,45
2008-07-26,45
2008-07-27,45
2008-07-28,45
2008-07-29,45
2008-07-30,45
2008-07-31,45
2008-08-01,45
2008-08-02,45
2008-08-03,45
2008-08-04,45
2008-08-05,45
2008-08-06,45
2008-08-07,45
2008-08-08,45
2008-08-09,45
2008-08-10,45
2008-08-11,45
2008-08-12,45
2008-08-13,45
2008-08-14,45
2008-08-15,45
2008-08-16,45
2008-08-17,45
2008-08-18,45
2008-08-19,45
2008-08-20,45
2008-08-21,45
2008-08-22,45
2008-08-23,45
2008-08-24,45
2008-08-25,45
2008-08-26,45
2008-08-27,45
2008-08-28,45
2008-08-29,45
2008-08-30,45
2008-08-31,45
2008-09-01,45
2008-09-02,45
2008-09-03,45
2008-09-04,45
2008-09-05,45
2008-09-06,45
2008-09-07,45
2008-09-08,45
2008-09-09,45
2008-09-10,45
2008-09-11,45
2008-09-12,45
2008-09-13,45
2008-09-14,45
2008-09-15,45
2008-09-16,45
2008-09-17,45
2008-09-18,45
2008-09-19,45
2008-09-20,45
2008-09-21,45
2008-09-22,45
2008-09-23,45
2008-09-24,45
2008-09-25,45
2008-09-26,45
2008-09-27,45
2008-09-28,45
2008-09-29,45
2008-09-30,45
