Date,Deutsche Bank
2011-03-01,88
2011-03-02,90
2011-03-03,91
2011-03-04,91
2011-03-05,99
2011-03-06,89
2011-03-07,87
2011-03-08,86
2011-03-09,85
2011-03-10,83
2011-03-11,83
2011-03-12,86
2011-03-13,80
2011-03-14,80
2011-03-15,80
2011-03-16,81
2011-03-17,80
2011-03-18,80
2011-03-19,87
2011-03-20,79
2011-03-21,79
2011-03-22,79
2011-03-23,79
2011-03-24,78
2011-03-25,78
2011-03-26,85
2011-03-27,79
2011-03-28,81
2011-03-29,83
2011-03-30,84
2011-03-31,86
2011-04-01,90
2011-04-02,99
2011-04-03,89
2011-04-04,88
2011-04-05,89
2011-04-06,88
2011-04-07,87
2011-04-08,87
2011-04-09,94
2011-04-10,85
2011-04-11,85
2011-04-12,85
2011-04-13,84
2011-04-14,83
2011-04-15,85
2011-04-16,89
2011-04-17,81
2011-04-18,80
2011-04-19,80
2011-04-20,79
2011-04-21,77
2011-04-22,81
2011-04-23,75
2011-04-24,76
2011-04-25,76
2011-04-26,78
2011-04-27,80
2011-04-28,81
2011-04-29,84
2011-04-30,92
2011-05-01,84
2011-05-02,85
2011-05-03,86
2011-05-04,86
2011-05-05,87
2011-05-06,89
2011-05-07,96
2011-05-08,87
2011-05-09,86
2011-05-10,87
2011-05-11,87
2011-05-12,85
2011-05-13,85
2011-05-14,91
2011-05-15,83
2011-05-16,82
2011-05-17,83
2011-05-18,82
2011-05-19,81
2011-05-20,81
2011-05-21,86
2011-05-22,80
2011-05-23,81
2011-05-24,82
2011-05-25,82
2011-05-26,82
2011-05-27,83
2011-05-28,91
2011-05-29,84
2011-05-30,84
2011-05-31,84
2011-06-01,84
2011-06-02,91
2011-06-03,84
2011-06-04,92
2011-06-05,84
2011-06-06,83
2011-06-07,84
2011-06-08,83
2011-06-09,81
2011-06-10,80
2011-06-11,87
2011-06-12,82
2011-06-13,79
2011-06-14,79
2011-06-15,79
2011-06-16,79
2011-06-17,79
2011-06-18,84
2011-06-19,78
2011-06-20,78
2011-06-21,78
2011-06-22,78
2011-06-23,79
2011-06-24,78
2011-06-25,84
2011-06-26,80
2011-06-27,82
2011-06-28,84
2011-06-29,86
2011-06-30,88
2011-07-01,92
2011-07-02,99
2011-07-03,92
2011-07-04,91
2011-07-05,92
2011-07-06,91
2011-07-07,89
2011-07-08,90
2011-07-09,97
2011-07-10,88
2011-07-11,88
2011-07-12,89
2011-07-13,88
2011-07-14,88
2011-07-15,88
2011-07-16,96
2011-07-17,87
2011-07-18,86
2011-07-19,88
2011-07-20,85
2011-07-21,84
2011-07-22,85
2011-07-23,90
2011-07-24,84
2011-07-25,85
2011-07-26,86
2011-07-27,88
2011-07-28,89
2011-07-29,90
2011-07-30,100
2011-07-31,91
2011-08-01,91
2011-08-02,92
2011-08-03,91
2011-08-04,90
2011-08-05,89
2011-08-06,97
2011-08-07,89
2011-08-08,89
2011-08-09,89
2011-08-10,89
2011-08-11,89
2011-08-12,89
2011-08-13,97
2011-08-14,87
2011-08-15,85
2011-08-16,85
2011-08-17,84
2011-08-18,81
2011-08-19,80
2011-08-20,85
2011-08-21,78
2011-08-22,78
2011-08-23,80
2011-08-24,79
2011-08-25,79
2011-08-26,80
2011-08-27,86
2011-08-28,82
2011-08-29,84
2011-08-30,86
2011-08-31,88
2011-09-01,90
2011-09-02,92
2011-09-03,103
2011-09-04,93
2011-09-05,92
2011-09-06,94
2011-09-07,93
2011-09-08,92
2011-09-09,91
2011-09-10,98
2011-09-11,89
2011-09-12,88
2011-09-13,87
2011-09-14,86
2011-09-15,85
2011-09-16,85
2011-09-17,90
2011-09-18,82
2011-09-19,82
2011-09-20,83
2011-09-21,81
2011-09-22,81
2011-09-23,83
2011-09-24,88
2011-09-25,81
2011-09-26,82
2011-09-27,82
2011-09-28,83
2011-09-29,83
2011-09-30,84
2011-10-01,93
2011-10-02,86
2011-10-03,85
2011-10-04,86
2011-10-05,88
2011-10-06,88
2011-10-07,87
2011-10-08,96
2011-10-09,87
2011-10-10,86
2011-10-11,87
2011-10-12,84
2011-10-13,83
2011-10-14,83
2011-10-15,88
2011-10-16,82
2011-10-17,81
2011-10-18,82
2011-10-19,81
2011-10-20,81
2011-10-21,81
2011-10-22,85
2011-10-23,82
2011-10-24,82
2011-10-25,83
2011-10-26,84
2011-10-27,85
2011-10-28,86
2011-10-29,95
2011-10-30,86
2011-10-31,85
2011-11-01,86
2011-11-02,84
2011-11-03,83
2011-11-04,84
2011-11-05,88
2011-11-06,81
2011-11-07,81
2011-11-08,81
2011-11-09,82
2011-11-10,80
2011-11-11,81
2011-11-12,86
2011-11-13,79
2011-11-14,79
2011-11-15,80
2011-11-16,79
2011-11-17,79
2011-11-18,81
2011-11-19,85
2011-11-20,79
2011-11-21,79
2011-11-22,80
2011-11-23,79
2011-11-24,80
2011-11-25,79
2011-11-26,87
2011-11-27,81
2011-11-28,82
2011-11-29,84
2011-11-30,85
2011-12-01,87
2011-12-02,89
2011-12-03,98
2011-12-04,88
2011-12-05,87
2011-12-06,87
2011-12-07,84
2011-12-08,83
2011-12-09,81
2011-12-10,87
2011-12-11,80
2011-12-12,80
2011-12-13,81
2011-12-14,80
2011-12-15,80
2011-12-16,81
2011-12-17,87
2011-12-18,79
2011-12-19,78
2011-12-20,79
2011-12-21,78
2011-12-22,77
2011-12-23,77
2011-12-24,84
2011-12-25,76
2011-12-26,76
2011-12-27,76
2011-12-28,76
2011-12-29,76
2011-12-30,76
2011-12-31,83
2012-01-01,77
2012-01-02,77
2012-01-03,80
2012-01-04,80
2012-01-05,80
2012-01-06,83
2012-01-07,87
2012-01-08,82
2012-01-09,82
2012-01-10,82
2012-01-11,82
2012-01-12,82
2012-01-13,82
2012-01-14,89
2012-01-15,81
2012-01-16,80
2012-01-17,82
2012-01-18,80
2012-01-19,79
2012-01-20,80
2012-01-21,83
2012-01-22,78
2012-01-23,78
2012-01-24,78
2012-01-25,79
2012-01-26,79
2012-01-27,79
2012-01-28,86
2012-01-29,81
2012-01-30,82
2012-01-31,84
2012-02-01,85
2012-02-02,85
2012-02-03,88
2012-02-04,96
2012-02-05,87
2012-02-06,86
2012-02-07,85
2012-02-08,84
2012-02-09,83
2012-02-10,83
2012-02-11,87
2012-02-12,81
2012-02-13,79
2012-02-14,79
2012-02-15,78
2012-02-16,78
2012-02-17,79
2012-02-18,83
2012-02-19,76
2012-02-20,75
2012-02-21,75
2012-02-22,75
2012-02-23,74
2012-02-24,73
2012-02-25,79
2012-02-26,75
2012-02-27,77
2012-02-28,79
2012-02-29,81
2012-03-01,83
2012-03-02,86
2012-03-03,94
2012-03-04,86
2012-03-05,85
2012-03-06,86
2012-03-07,83
2012-03-08,82
2012-03-09,82
2012-03-10,86
2012-03-11,79
2012-03-12,79
2012-03-13,79
2012-03-14,78
2012-03-15,78
2012-03-16,78
2012-03-17,84
2012-03-18,76
2012-03-19,75
2012-03-20,75
2012-03-21,74
2012-03-22,74
2012-03-23,73
2012-03-24,77
2012-03-25,73
2012-03-26,74
2012-03-27,75
2012-03-28,76
2012-03-29,77
2012-03-30,78
2012-03-31,87
2012-04-01,78
2012-04-02,78
2012-04-03,79
2012-04-04,78
2012-04-05,78
2012-04-06,83
2012-04-07,77
2012-04-08,80
2012-04-09,75
2012-04-10,75
2012-04-11,75
2012-04-12,74
2012-04-13,74
2012-04-14,79
2012-04-15,73
2012-04-16,73
2012-04-17,75
2012-04-18,73
2012-04-19,74
2012-04-20,73
2012-04-21,80
2012-04-22,74
2012-04-23,75
2012-04-24,76
2012-04-25,78
2012-04-26,77
2012-04-27,78
2012-04-28,86
2012-04-29,78
2012-04-30,78
2012-05-01,85
2012-05-02,77
2012-05-03,78
2012-05-04,78
2012-05-05,83
2012-05-06,77
2012-05-07,77
2012-05-08,78
2012-05-09,77
2012-05-10,77
2012-05-11,78
2012-05-12,84
2012-05-13,77
2012-05-14,76
2012-05-15,77
2012-05-16,75
2012-05-17,79
2012-05-18,73
2012-05-19,80
2012-05-20,73
2012-05-21,73
2012-05-22,75
2012-05-23,75
2012-05-24,75
2012-05-25,75
2012-05-26,83
2012-05-27,79
2012-05-28,78
2012-05-29,79
2012-05-30,81
2012-05-31,82
2012-06-01,83
2012-06-02,92
2012-06-03,84
2012-06-04,83
2012-06-05,85
2012-06-06,82
2012-06-07,83
2012-06-08,79
2012-06-09,86
2012-06-10,78
2012-06-11,78
2012-06-12,79
2012-06-13,78
2012-06-14,78
2012-06-15,79
2012-06-16,85
2012-06-17,77
2012-06-18,77
2012-06-19,77
2012-06-20,77
2012-06-21,76
2012-06-22,76
2012-06-23,82
2012-06-24,76
2012-06-25,77
2012-06-26,79
2012-06-27,79
2012-06-28,80
2012-06-29,81
2012-06-30,90
2012-07-01,82
2012-07-02,83
2012-07-03,85
2012-07-04,85
2012-07-05,84
2012-07-06,87
2012-07-07,92
2012-07-08,85
2012-07-09,84
2012-07-10,83
2012-07-11,82
2012-07-12,81
2012-07-13,80
2012-07-14,85
2012-07-15,78
2012-07-16,78
2012-07-17,79
2012-07-18,78
2012-07-19,76
2012-07-20,77
2012-07-21,83
2012-07-22,76
2012-07-23,76
2012-07-24,77
2012-07-25,77
2012-07-26,78
2012-07-27,77
2012-07-28,85
2012-07-29,79
2012-07-30,80
2012-07-31,82
2012-08-01,86
2012-08-02,86
2012-08-03,87
2012-08-04,96
2012-08-05,86
2012-08-06,84
2012-08-07,84
2012-08-08,80
2012-08-09,78
2012-08-10,78
2012-08-11,80
2012-08-12,74
2012-08-13,74
2012-08-14,74
2012-08-15,74
2012-08-16,72
2012-08-17,73
2012-08-18,78
2012-08-19,72
2012-08-20,72
2012-08-21,74
2012-08-22,73
2012-08-23,73
2012-08-24,74
2012-08-25,80
2012-08-26,76
2012-08-27,79
2012-08-28,82
2012-08-29,84
2012-08-30,86
2012-08-31,89
