Date,Goldman Sachs
2012-05-04,23
2012-05-05,24
2012-05-06,23
2012-05-07,23
2012-05-08,23
2012-05-09,23
2012-05-10,23
2012-05-11,23
2012-05-12,25
2012-05-13,24
2012-05-14,24
2012-05-15,24
2012-05-16,24
2012-05-17,24
2012-05-18,24
2012-05-19,26
2012-05-20,24
2012-05-21,24
2012-05-22,24
2012-05-23,24
2012-05-24,24
2012-05-25,25
2012-05-26,26
2012-05-27,24
2012-05-28,24
2012-05-29,23
2012-05-30,23
2012-05-31,22
2012-06-01,22
2012-06-02,23
2012-06-03,22
2012-06-04,22
2012-06-05,22
2012-06-06,22
2012-06-07,22
2012-06-08,22
2012-06-09,23
2012-06-10,22
2012-06-11,23
2012-06-12,23
2012-06-13,24
2012-06-14,24
2012-06-15,25
2012-06-16,27
2012-06-17,26
2012-06-18,25
2012-06-19,25
2012-06-20,25
2012-06-21,25
2012-06-22,25
2012-06-23,26
2012-06-24,25
2012-06-25,24
2012-06-26,23
2012-06-27,23
2012-06-28,22
2012-06-29,22
2012-06-30,23
2012-07-01,22
2012-07-02,22
2012-07-03,22
2012-07-04,22
2012-07-05,22
2012-07-06,22
2012-07-07,22
2012-07-08,22
2012-07-09,22
2012-07-10,22
2012-07-11,22
2012-07-12,22
2012-07-13,22
2012-07-14,24
2012-07-15,23
2012-07-16,24
2012-07-17,24
2012-07-18,26
2012-07-19,26
2012-07-20,27
2012-07-21,28
2012-07-22,26
2012-07-23,25
2012-07-24,24
2012-07-25,24
2012-07-26,23
2012-07-27,23
2012-07-28,23
2012-07-29,22
2012-07-30,22
2012-07-31,22
2012-08-01,22
2012-08-02,22
2012-08-03,22
2012-08-04,23
2012-08-05,22
2012-08-06,22
2012-08-07,22
2012-08-08,23
2012-08-09,23
2012-08-10,23
2012-08-11,26
2012-08-12,24
2012-08-13,24
2012-08-14,24
2012-08-15,24
2012-08-16,24
2012-08-17,24
2012-08-18,25
2012-08-19,23
2012-08-20,23
2012-08-21,23
2012-08-22,22
2012-08-23,23
2012-08-24,22
2012-08-25,23
2012-08-26,22
2012-08-27,22
2012-08-28,22
2012-08-29,22
2012-08-30,22
2012-08-31,22
2012-09-01,23
2012-09-02,24
2012-09-03,27
2012-09-04,30
2012-09-05,33
2012-09-06,38
2012-09-07,40
2012-09-08,44
2012-09-09,41
2012-09-10,40
2012-09-11,39
2012-09-12,38
2012-09-13,37
2012-09-14,36
2012-09-15,37
2012-09-16,34
2012-09-17,33
2012-09-18,32
2012-09-19,31
2012-09-20,31
2012-09-21,30
2012-09-22,30
2012-09-23,28
2012-09-24,28
2012-09-25,28
2012-09-26,28
2012-09-27,27
2012-09-28,27
2012-09-29,28
2012-09-30,26
2012-10-01,26
2012-10-02,26
2012-10-03,26
2012-10-04,26
2012-10-05,26
2012-10-06,27
2012-10-07,26
2012-10-08,26
2012-10-09,26
2012-10-10,26
2012-10-11,26
2012-10-12,26
2012-10-13,27
2012-10-14,27
2012-10-15,28
2012-10-16,29
2012-10-17,30
2012-10-18,31
2012-10-19,33
2012-10-20,34
2012-10-21,33
2012-10-22,33
2012-10-23,36
2012-10-24,34
2012-10-25,34
2012-10-26,36
2012-10-27,35
2012-10-28,34
2012-10-29,32
2012-10-30,31
2012-10-31,30
2012-11-01,29
2012-11-02,28
2012-11-03,28
2012-11-04,27
2012-11-05,27
2012-11-06,28
2012-11-07,28
2012-11-08,30
2012-11-09,28
2012-11-10,31
2012-11-11,29
2012-11-12,29
2012-11-13,30
2012-11-14,30
2012-11-15,31
2012-11-16,32
2012-11-17,34
2012-11-18,31
2012-11-19,29
2012-11-20,28
2012-11-21,27
2012-11-22,26
2012-11-23,25
2012-11-24,24
2012-11-25,24
2012-11-26,24
2012-11-27,25
2012-11-28,26
2012-11-29,26
2012-11-30,26
2012-12-01,28
2012-12-02,26
2012-12-03,26
2012-12-04,26
2012-12-05,26
2012-12-06,26
2012-12-07,26
2012-12-08,27
2012-12-09,25
2012-12-10,25
2012-12-11,24
2012-12-12,24
2012-12-13,23
2012-12-14,24
2012-12-15,24
2012-12-16,22
2012-12-17,22
2012-12-18,22
2012-12-19,21
2012-12-20,21
2012-12-21,21
2012-12-22,21
2012-12-23,21
2012-12-24,20
2012-12-25,20
2012-12-26,19
2012-12-27,18
2012-12-28,18
2012-12-29,18
2012-12-30,19
2012-12-31,19
2013-01-01,20
2013-01-02,20
2013-01-03,21
2013-01-04,22
2013-01-05,23
2013-01-06,23
2013-01-07,24
2013-01-08,24
2013-01-09,25
2013-01-10,25
2013-01-11,26
2013-01-12,29
2013-01-13,27
2013-01-14,28
2013-01-15,29
2013-01-16,30
2013-01-17,32
2013-01-18,32
2013-01-19,33
2013-01-20,35
2013-01-21,31
2013-01-22,30
2013-01-23,30
2013-01-24,29
2013-01-25,29
2013-01-26,29
2013-01-27,28
2013-01-28,27
2013-01-29,27
2013-01-30,26
2013-01-31,26
2013-02-01,26
2013-02-02,27
2013-02-03,26
2013-02-04,25
2013-02-05,24
2013-02-06,24
2013-02-07,24
2013-02-08,23
2013-02-09,24
2013-02-10,23
2013-02-11,23
2013-02-12,23
2013-02-13,24
2013-02-14,24
2013-02-15,23
2013-02-16,25
2013-02-17,24
2013-02-18,23
2013-02-19,23
2013-02-20,22
2013-02-21,22
2013-02-22,22
2013-02-23,23
2013-02-24,22
2013-02-25,22
2013-02-26,22
2013-02-27,22
2013-02-28,22
2013-03-01,23
2013-03-02,23
2013-03-03,23
2013-03-04,22
2013-03-05,22
2013-03-06,22
2013-03-07,22
2013-03-08,22
2013-03-09,23
2013-03-10,22
2013-03-11,22
2013-03-12,22
2013-03-13,22
2013-03-14,22
2013-03-15,22
2013-03-16,24
2013-03-17,21
2013-03-18,21
2013-03-19,21
2013-03-20,21
2013-03-21,21
2013-03-22,21
2013-03-23,22
2013-03-24,21
2013-03-25,21
2013-03-26,21
2013-03-27,21
2013-03-28,21
2013-03-29,22
2013-03-30,22
2013-03-31,22
2013-04-01,22
2013-04-02,22
2013-04-03,22
2013-04-04,23
2013-04-05,23
2013-04-06,24
2013-04-07,22
2013-04-08,22
2013-04-09,22
2013-04-10,21
2013-04-11,21
2013-04-12,21
2013-04-13,22
2013-04-14,22
2013-04-15,22
2013-04-16,22
2013-04-17,24
2013-04-18,24
2013-04-19,24
2013-04-20,26
2013-04-21,24
2013-04-22,23
2013-04-23,23
2013-04-24,23
2013-04-25,22
2013-04-26,21
2013-04-27,22
2013-04-28,21
2013-04-29,21
2013-04-30,21
2013-05-01,21
2013-05-02,21
2013-05-03,22
2013-05-04,23
2013-05-05,22
2013-05-06,22
2013-05-07,22
2013-05-08,22
2013-05-09,22
2013-05-10,22
2013-05-11,22
2013-05-12,22
2013-05-13,21
2013-05-14,21
2013-05-15,21
2013-05-16,21
2013-05-17,21
2013-05-18,22
2013-05-19,21
2013-05-20,21
2013-05-21,21
2013-05-22,22
2013-05-23,21
2013-05-24,22
2013-05-25,23
2013-05-26,21
2013-05-27,21
2013-05-28,21
2013-05-29,21
2013-05-30,21
2013-05-31,21
2013-06-01,21
2013-06-02,21
2013-06-03,21
2013-06-04,21
2013-06-05,21
2013-06-06,21
2013-06-07,21
2013-06-08,22
2013-06-09,21
2013-06-10,20
2013-06-11,20
2013-06-12,20
2013-06-13,20
2013-06-14,20
2013-06-15,21
2013-06-16,20
2013-06-17,20
2013-06-18,20
2013-06-19,20
2013-06-20,20
2013-06-21,20
2013-06-22,21
2013-06-23,20
2013-06-24,20
2013-06-25,20
2013-06-26,20
2013-06-27,20
2013-06-28,20
2013-06-29,21
2013-06-30,19
