Date,Goldman Sachs
2010-10-25,23
2010-10-26,22
2010-10-27,22
2010-10-28,22
2010-10-29,22
2010-10-30,22
2010-10-31,21
2010-11-01,21
2010-11-02,21
2010-11-03,21
2010-11-04,22
2010-11-05,22
2010-11-06,23
2010-11-07,24
2010-11-08,22
2010-11-09,23
2010-11-10,23
2010-11-11,25
2010-11-12,24
2010-11-13,27
2010-11-14,25
2010-11-15,25
2010-11-16,27
2010-11-17,26
2010-11-18,26
2010-11-19,29
2010-11-20,27
2010-11-21,26
2010-11-22,23
2010-11-23,23
2010-11-24,20
2010-11-25,20
2010-11-26,17
2010-11-27,16
2010-11-28,16
2010-11-29,16
2010-11-30,17
2010-12-01,17
2010-12-02,18
2010-12-03,18
2010-12-04,21
2010-12-05,19
2010-12-06,20
2010-12-07,20
2010-12-08,23
2010-12-09,21
2010-12-10,25
2010-12-11,23
2010-12-12,22
2010-12-13,22
2010-12-14,22
2010-12-15,22
2010-12-16,23
2010-12-17,22
2010-12-18,25
2010-12-19,21
2010-12-20,20
2010-12-21,19
2010-12-22,18
2010-12-23,17
2010-12-24,18
2010-12-25,16
2010-12-26,16
2010-12-27,16
2010-12-28,16
2010-12-29,16
2010-12-30,16
2010-12-31,17
2011-01-01,18
2011-01-02,18
2011-01-03,19
2011-01-04,20
2011-01-05,21
2011-01-06,23
2011-01-07,23
2011-01-08,26
2011-01-09,25
2011-01-10,24
2011-01-11,24
2011-01-12,25
2011-01-13,24
2011-01-14,24
2011-01-15,25
2011-01-16,24
2011-01-17,24
2011-01-18,24
2011-01-19,24
2011-01-20,24
2011-01-21,27
2011-01-22,28
2011-01-23,24
2011-01-24,24
2011-01-25,24
2011-01-26,25
2011-01-27,23
2011-01-28,24
2011-01-29,23
2011-01-30,24
2011-01-31,21
2011-02-01,21
2011-02-02,20
2011-02-03,20
2011-02-04,20
2011-02-05,20
2011-02-06,18
2011-02-07,18
2011-02-08,18
2011-02-09,17
2011-02-10,17
2011-02-11,17
2011-02-12,18
2011-02-13,17
2011-02-14,18
2011-02-15,18
2011-02-16,18
2011-02-17,19
2011-02-18,19
2011-02-19,21
2011-02-20,21
2011-02-21,19
2011-02-22,18
2011-02-23,19
2011-02-24,17
2011-02-25,17
2011-02-26,18
2011-02-27,17
2011-02-28,17
2011-03-01,17
2011-03-02,18
2011-03-03,19
2011-03-04,18
2011-03-05,19
2011-03-06,20
2011-03-07,18
2011-03-08,18
2011-03-09,19
2011-03-10,18
2011-03-11,18
2011-03-12,20
2011-03-13,18
2011-03-14,18
2011-03-15,18
2011-03-16,19
2011-03-17,18
2011-03-18,19
2011-03-19,19
2011-03-20,19
2011-03-21,19
2011-03-22,20
2011-03-23,20
2011-03-24,21
2011-03-25,20
2011-03-26,24
2011-03-27,20
2011-03-28,19
2011-03-29,19
2011-03-30,19
2011-03-31,18
2011-04-01,17
2011-04-02,18
2011-04-03,17
2011-04-04,18
2011-04-05,18
2011-04-06,20
2011-04-07,19
2011-04-08,21
2011-04-09,23
2011-04-10,21
2011-04-11,22
2011-04-12,22
2011-04-13,23
2011-04-14,24
2011-04-15,24
2011-04-16,28
2011-04-17,25
2011-04-18,25
2011-04-19,25
2011-04-20,27
2011-04-21,26
2011-04-22,27
2011-04-23,26
2011-04-24,24
2011-04-25,23
2011-04-26,22
2011-04-27,21
2011-04-28,21
2011-04-29,19
2011-04-30,20
2011-05-01,18
2011-05-02,18
2011-05-03,18
2011-05-04,18
2011-05-05,19
2011-05-06,18
2011-05-07,21
2011-05-08,19
2011-05-09,20
2011-05-10,20
2011-05-11,21
2011-05-12,22
2011-05-13,22
2011-05-14,26
2011-05-15,22
2011-05-16,21
2011-05-17,21
2011-05-18,19
2011-05-19,18
2011-05-20,19
2011-05-21,17
2011-05-22,17
2011-05-23,18
2011-05-24,19
2011-05-25,21
2011-05-26,21
2011-05-27,22
2011-05-28,25
2011-05-29,22
2011-05-30,22
2011-05-31,21
