Date,William Blair & Company
2012-03-07,74
2012-03-08,73
2012-03-09,72
2012-03-10,72
2012-03-11,71
2012-03-12,70
2012-03-13,70
2012-03-14,69
2012-03-15,68
2012-03-16,68
2012-03-17,67
2012-03-18,67
2012-03-19,66
2012-03-20,65
2012-03-21,65
2012-03-22,64
2012-03-23,63
2012-03-24,63
2012-03-25,62
2012-03-26,61
2012-03-27,61
2012-03-28,60
2012-03-29,59
2012-03-30,59
2012-03-31,58
2012-04-01,58
2012-04-02,58
2012-04-03,58
2012-04-04,58
2012-04-05,59
2012-04-06,59
2012-04-07,59
2012-04-08,59
2012-04-09,60
2012-04-10,60
2012-04-11,60
2012-04-12,60
2012-04-13,61
2012-04-14,61
2012-04-15,61
2012-04-16,62
2012-04-17,62
2012-04-18,62
2012-04-19,62
2012-04-20,63
2012-04-21,63
2012-04-22,63
2012-04-23,63
2012-04-24,64
2012-04-25,64
2012-04-26,64
2012-04-27,64
2012-04-28,65
2012-04-29,65
2012-04-30,65
2012-05-01,66
2012-05-02,63
2012-05-03,61
2012-05-04,59
2012-05-05,57
2012-05-06,55
2012-05-07,53
2012-05-08,51
2012-05-09,48
2012-05-10,46
2012-05-11,44
2012-05-12,42
2012-05-13,40
2012-05-14,38
2012-05-15,36
2012-05-16,34
2012-05-17,31
2012-05-18,29
2012-05-19,27
2012-05-20,25
2012-05-21,23
2012-05-22,21
2012-05-23,19
2012-05-24,17
2012-05-25,14
2012-05-26,12
2012-05-27,10
2012-05-28,8
2012-05-29,6
2012-05-30,4
2012-05-31,2
2012-06-01,0
2012-06-02,0
2012-06-03,0
2012-06-04,0
2012-06-05,0
2012-06-06,0
2012-06-07,0
2012-06-08,0
2012-06-09,0
2012-06-10,0
2012-06-11,0
2012-06-12,0
2012-06-13,0
2012-06-14,0
2012-06-15,0
2012-06-16,0
2012-06-17,0
2012-06-18,0
2012-06-19,0
2012-06-20,0
2012-06-21,0
2012-06-22,0
2012-06-23,0
2012-06-24,0
2012-06-25,0
2012-06-26,0
2012-06-27,0
2012-06-28,0
2012-06-29,0
2012-06-30,0
2012-07-01,0
2012-07-02,0
2012-07-03,0
2012-07-04,0
2012-07-05,0
2012-07-06,0
2012-07-07,0
2012-07-08,0
2012-07-09,0
2012-07-10,0
2012-07-11,0
2012-07-12,0
2012-07-13,0
2012-07-14,0
2012-07-15,0
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,0
2012-07-20,0
2012-07-21,0
2012-07-22,0
2012-07-23,0
2012-07-24,0
2012-07-25,0
2012-07-26,0
2012-07-27,0
2012-07-28,0
2012-07-29,0
2012-07-30,0
2012-07-31,0
2012-08-01,0
2012-08-02,0
2012-08-03,0
2012-08-04,0
2012-08-05,0
2012-08-06,0
2012-08-07,0
2012-08-08,0
2012-08-09,0
2012-08-10,0
2012-08-11,0
2012-08-12,0
2012-08-13,0
2012-08-14,0
2012-08-15,0
2012-08-16,0
2012-08-17,0
2012-08-18,0
2012-08-19,0
2012-08-20,0
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-24,0
2012-08-25,0
2012-08-26,0
2012-08-27,0
2012-08-28,0
2012-08-29,0
2012-08-30,0
2012-08-31,0
2012-09-01,0
2012-09-02,0
2012-09-03,0
2012-09-04,0
2012-09-05,0
2012-09-06,0
2012-09-07,0
2012-09-08,0
2012-09-09,0
2012-09-10,0
2012-09-11,0
2012-09-12,0
2012-09-13,0
2012-09-14,0
2012-09-15,0
2012-09-16,0
2012-09-17,0
2012-09-18,0
2012-09-19,0
2012-09-20,0
2012-09-21,0
2012-09-22,0
2012-09-23,0
2012-09-24,0
2012-09-25,0
2012-09-26,0
2012-09-27,0
2012-09-28,0
2012-09-29,0
2012-09-30,0
2012-10-01,0
2012-10-02,0
2012-10-03,0
2012-10-04,0
2012-10-05,0
2012-10-06,0
2012-10-07,0
2012-10-08,0
2012-10-09,0
2012-10-10,0
2012-10-11,0
2012-10-12,0
2012-10-13,0
2012-10-14,0
2012-10-15,0
2012-10-16,0
2012-10-17,0
2012-10-18,0
2012-10-19,0
2012-10-20,0
2012-10-21,0
2012-10-22,0
2012-10-23,0
2012-10-24,0
2012-10-25,0
2012-10-26,0
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,0
2012-10-31,0
2012-11-01,0
2012-11-02,0
2012-11-03,0
2012-11-04,0
2012-11-05,0
2012-11-06,0
2012-11-07,0
2012-11-08,0
2012-11-09,0
2012-11-10,0
2012-11-11,0
2012-11-12,0
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,0
2012-11-17,0
2012-11-18,0
2012-11-19,0
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,0
2012-12-01,0
2012-12-02,0
2012-12-03,0
2012-12-04,0
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,0
2012-12-12,0
2012-12-13,0
2012-12-14,0
2012-12-15,0
2012-12-16,0
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-20,0
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,0
2013-01-03,0
2013-01-04,0
2013-01-05,0
2013-01-06,0
2013-01-07,0
2013-01-08,0
2013-01-09,0
2013-01-10,0
2013-01-11,0
2013-01-12,0
2013-01-13,0
2013-01-14,0
2013-01-15,0
2013-01-16,0
2013-01-17,0
2013-01-18,0
2013-01-19,0
2013-01-20,0
2013-01-21,0
2013-01-22,0
2013-01-23,0
2013-01-24,0
2013-01-25,0
2013-01-26,0
2013-01-27,0
2013-01-28,0
2013-01-29,0
2013-01-30,0
2013-01-31,0
2013-02-01,0
2013-02-02,0
2013-02-03,0
2013-02-04,0
2013-02-05,0
2013-02-06,0
2013-02-07,0
2013-02-08,0
2013-02-09,0
2013-02-10,0
2013-02-11,0
2013-02-12,0
2013-02-13,0
2013-02-14,0
2013-02-15,0
2013-02-16,0
2013-02-17,0
2013-02-18,0
2013-02-19,0
2013-02-20,0
2013-02-21,0
2013-02-22,0
2013-02-23,0
2013-02-24,0
2013-02-25,0
2013-02-26,0
2013-02-27,0
2013-02-28,0
2013-03-01,0
2013-03-02,1
2013-03-03,3
2013-03-04,4
2013-03-05,6
2013-03-06,7
2013-03-07,9
2013-03-08,11
2013-03-09,12
2013-03-10,14
2013-03-11,15
2013-03-12,17
2013-03-13,18
2013-03-14,20
2013-03-15,22
2013-03-16,23
2013-03-17,25
2013-03-18,26
2013-03-19,28
2013-03-20,30
2013-03-21,31
2013-03-22,33
2013-03-23,34
2013-03-24,36
2013-03-25,37
2013-03-26,39
2013-03-27,41
2013-03-28,42
2013-03-29,44
2013-03-30,45
2013-03-31,47
2013-04-01,49
2013-04-02,49
2013-04-03,49
2013-04-04,49
2013-04-05,49
2013-04-06,49
2013-04-07,49
2013-04-08,49
2013-04-09,49
2013-04-10,49
2013-04-11,50
2013-04-12,50
2013-04-13,50
2013-04-14,50
2013-04-15,50
2013-04-16,50
2013-04-17,50
2013-04-18,50
2013-04-19,50
2013-04-20,50
2013-04-21,51
2013-04-22,51
2013-04-23,51
2013-04-24,51
2013-04-25,51
2013-04-26,51
2013-04-27,51
2013-04-28,51
2013-04-29,51
2013-04-30,51
2013-05-01,52
